"contrast","cellline","time","estimate","SE","df","t.ratio","p.value","lipid","p_adj"
"Control - Migration","HCC1143","0",0.0568934520922672,0.446771836898847,67.5707785684383,0.12734341646774,0.899046810058245,"FA22.5_w3",0.999999999998754
"Control - Migration","HCC38","0",0.810788282822794,0.446771836898846,67.5707785684362,1.81477035000835,0.0739977881050264,"FA22.5_w3",0.517984516735185
"Control - Migration","HCC1143","12",-0.0136533539931613,0.446771836898846,67.5707785684362,-0.030560014901415,0.975710516842783,"FA22.5_w3",0.999999999999906
"Control - Migration","HCC38","12",0.569172916546464,0.446771836898846,67.5707785684362,1.27396776058499,0.207039331536481,"FA22.5_w3",0.999999999999991
"Control - Migration","HCC1143","18",0.109150337638643,0.476277199513466,68.8184440887781,0.229173972111502,0.81941342481052,"FA22.5_w3",0.99999999999993
"Control - Migration","HCC38","18",0.0333333333333235,0.446771836898846,67.5707785684362,0.0746092984837594,0.940746017563854,"FA22.5_w3",0.999999999999992
"Control - Migration","HCC1143","22",-0.506615678312203,0.446771836898846,67.5707785684353,-1.13394721079276,0.260823735161009,"FA22.5_w3",0.999999999999908
"Control - Migration","HCC38","22",0.164548410450113,0.446771836898846,67.5707785684359,0.368305244109128,0.713796992067722,"FA22.5_w3",0.989440426716571
"Control - Migration","HCC1143","0",0.0138662636790845,0.496662917241178,64.9391495521709,0.0279188624673405,0.97781248656909,"FA22.5_w6",0.999999999998754
"Control - Migration","HCC38","0",0.599255496611388,0.496662917241178,64.9391495521726,1.20656379972977,0.23197729088196,"FA22.5_w6",0.944942193014634
"Control - Migration","HCC1143","12",0.0760428703463719,0.496662917241178,64.9391495521737,0.153107606198523,0.878788180590972,"FA22.5_w6",0.999999999999906
"Control - Migration","HCC38","12",-0.42832083357373,0.496662917241178,64.9391495521731,-0.862397450473918,0.391642474798914,"FA22.5_w6",0.999999999999991
"Control - Migration","HCC1143","18",0.367471580227001,0.528372285226525,66.9759017038635,0.695478530009306,0.489161608481227,"FA22.5_w6",0.99999999999993
"Control - Migration","HCC38","18",0.979505648795647,0.496662917241178,64.9391495521731,1.97217391271433,0.0528513611085393,"FA22.5_w6",0.41134898167199
"Control - Migration","HCC1143","22",-0.192030845979318,0.496662917241178,64.9391495521734,-0.386642206037839,0.700285167710211,"FA22.5_w6",0.999999999999908
"Control - Migration","HCC38","22",-0.568580950089964,0.496662917241178,64.9391495521731,-1.14480250156035,0.256492847302104,"FA22.5_w6",0.828669198976028
"Control - Migration","HCC1143","0",0.0200017059718193,0.740824392938706,71.0000000000001,0.0269992540235836,0.978536073777691,"FA22.6_w3",0.999999999998754
